time,X (rad/s),Y (rad/s),Z (rad/s),label
2665.5,-0.05176568447687726,0.0547767164958678,0.09534514239317643,highfive
2666.0,-0.05515036783206209,0.038281675599235725,0.09062082154756972,highfive
2666.5,-0.05820048125283457,0.022240104989893535,0.08329198153606668,highfive
2667.0,-0.06074400901348142,0.0067639469099240465,0.07383680443042377,highfive
2667.5,-0.06270110831141956,-0.008002880266727982,0.06295189713707502,highfive
2668.0,-0.0640939720277668,-0.021838567420557606,0.051491154925735416,highfive
2668.5,-0.06505226519197817,-0.0344143879445343,0.04038645358682104,highfive
2669.0,-0.06581260805280678,-0.04528708860969227,0.030558321912669675,highfive
2669.5,-0.066710534524602,-0.053914556370074425,0.022826050974463278,highfive
2670.0,-0.06816363772945652,-0.05969376683161795,0.017826890476080364,highfive
2670.5,-0.0706452410315549,-0.06201729947656397,0.015953033085926004,highfive
2671.0,-0.07464886665304074,-0.06034241054328023,0.017313109491971367,highfive
2671.5,-0.08064492481230456,-0.054265029584113035,0.021722156221904675,highfive
2672.0,-0.08903227811871195,-0.04359025475069322,0.028720820084522272,highfive
2672.5,-0.10008848023300586,-0.0283910343654729,0.03762132454570336,highfive
2673.0,-0.11392336474119874,-0.00904770849304036,0.047574839748976507,highfive
2673.5,-0.1304411040033269,0.01373717691669899,0.057652709751281186,highfive
2674.0,-0.14931574285436777,0.038952072015122276,0.06693273962102622,highfive
2674.5,-0.16998447572574527,0.06531830964929947,0.07458154567494435,highfive
2675.0,-0.1916615932550745,0.09135865851027812,0.07992480163902793,highfive
2675.5,-0.21337417384698945,0.11548801744472355,0.08249892213481287,highfive
2676.0,-0.2340184115183833,0.13611961213404783,0.08208006254635626,highfive
2676.5,-0.2524331877159,0.15177850552129904,0.07868896930436593,highfive
2677.0,-0.26748537912016496,0.16121336383362536,0.07257285764152459,highfive
2677.5,-0.2781597145892733,0.163497291902031,0.06416782086834508,highfive
2678.0,-0.2836449876482369,0.15810917114641446,0.054047043186092276,highfive
2678.5,-0.2834082645080611,0.14498825604102508,0.04286113983713942,highfive
2679.0,-0.277249474988464,0.1245567181471037,0.031277224428746336,highfive
2679.5,-0.26533039678234055,0.09770723736226979,0.01992284011383258,highfive
2680.0,-0.24817439031854147,0.06575545884803322,0.009339808418635144,highfive
2680.5,-0.22663606117474283,0.03035996369413937,-4.847312751148692e-05,highfive
2681.0,-0.20184300074521794,-0.006584875350360296,-0.00795450305157312,highfive
2681.5,-0.17511453983834202,-0.043075390197582455,-0.014228896548002499,highfive
2682.0,-0.1478647227840954,-0.07713486194953605,-0.01884891112793215,highfive
2682.5,-0.12149821652306673,-0.10694881322287986,-0.02189607815585536,highfive
2683.0,-0.0973084539050423,-0.13098844287121117,-0.023526556569541574,highfive
2683.5,-0.07638693229466427,-0.14811206248114192,-0.023938174192765206,highfive
2684.0,-0.05955132152207238,-0.15763611799409627,-0.02333802181110524,highfive
2684.5,-0.04729805181747561,-0.159369951066787,-0.021913977987775033,highfive
